"Year","EIN","NTEEFINAL","NTEECC","NTEE1","NAICS","NAME","ADDRESS","CITY","STATE","ZIP5","FIPS","TAXPER","ASSETS","INCOME","CASSETS","RULEDATE","CTAXPER","CTOTREV","ACCPER","LEVEL1","LEVEL2","LEVEL3","LEVEL4","NTMAJ5","NTMAJ10","NTMAJ12","MAJGRPB"
2011,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2011,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2011,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2011,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2012,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2012,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2012,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2012,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2012,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2012,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2012,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2013,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2013,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2013,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2013,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2013,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2013,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2013,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2014,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2014,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2014,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2014,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2014,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2014,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2014,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2015,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2015,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2015,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2015,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2015,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2015,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2015,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2016,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2016,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2016,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2016,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2016,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2016,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2016,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2017,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2017,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2017,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2017,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2017,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2017,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2017,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2018,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2018,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2018,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2018,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2018,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2018,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2018,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2019,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2019,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2019,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2019,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2019,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2019,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2019,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2020,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2020,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2020,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2020,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2020,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2020,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2020,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2021,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2021,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2021,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2021,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2021,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2021,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2021,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2022,202370934,"W30","W30","W",813410,"WOUNDED WARRIOR PROJECT INC","4899 BELFORT RD STE 300","JACKSONVILLE","FL",32256,12031,201809,NA,NA,310997780,200508,201509,398698187,9,"PC","O","PB","W","OT","PU","PU","W"
2022,363274346,"P27","P27","P",624100,"ARMED SERVICES YMCA OF THE USA","14040 CENTRAL LOOP B","WOODBRIDGE","VA",22193,51059,201812,24956171,10841916,23376577,198701,201512,6339163,12,"PC","O","HS","P","HU","HU","HU","P"
2022,530204618,"W30","W30","W",813410,"NAVY-MARINE CORPS RELIEF SOCIETY","875 N RANDOLPH STREET","ARLINGTON","VA",22203,51013,201812,115169946,40169541,125422178,200001,201512,23971035,12,"PC","O","PB","W","OT","PU","PU","W"
2022,541797281,"W30","W30","W",813410,"AIR FORCE AID SOCIETY INC","241 18TH ST S STE 202","ARLINGTON","VA",22202,51013,201812,189049978,61295687,183252774,199608,201512,15606283,12,"PC","O","PB","W","OT","PU","PU","W"
2022,751973894,"B11","B11","B",813219,"FIRST COMMAND EDUCATIONAL FOUNDATION","1 FIRSTCOMM PLZ","FORT WORTH","TX",76109,48439,201812,1554248,1212127,1437047,198407,201512,897275,12,"PC","S","ZA","B","ED","ED","ED","B"
2022,812774207,"P51","P51","P",NA,"SAC FOUNDATION","7148 TOWNE CENTER PKWY","PAPILLION","NE",68046,NA,201812,53438,51996,NA,201608,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
2022,824397332,"P20","P20","P",NA,"AMERICAN WARRIOR ASSOCIATION","111 BOLAND ST STE 201","FORT WORTH","TX",76107,NA,201812,194160,3e+05,NA,201812,NA,NA,12,"PC","O","HS","P","HU","HU","HU","P"
